stamp,x,y,yaw
1518632060.5098247528,-281.5865828097,-148.9768926732,-2.6608456546
1518632061.5107321739,-281.5862370232,-148.9783836091,-2.6608430266
1518632062.5098557472,-281.5859060936,-148.9799000222,-2.6608390796
1518632063.5098600388,-281.5855136756,-148.9812977443,-2.6608370424
1518632064.5107257366,-281.5852129031,-148.9827589006,-2.6608346475
1518632065.5106718540,-281.5849161418,-148.9841891097,-2.6608300973
1518632066.5107822418,-281.5845238586,-148.9855677933,-2.6608277205
1518632067.5100588799,-281.5841905141,-148.9870616453,-2.6608280963
1518632068.5108976364,-281.5838066204,-148.9884405793,-2.6608282590
1518632069.5101914406,-281.5834766475,-148.9899355565,-2.6608269435
1518632070.5108392239,-281.5830904839,-148.9913830433,-2.6608268387
1518632071.5099632740,-281.5827751026,-148.9929378911,-2.6608248545
1518632072.5106363297,-281.5824020899,-148.9943718760,-2.6608233585
1518632073.5104320049,-281.5820872893,-148.9959016977,-2.6608190708
1518632074.5140783787,-281.5817126932,-148.9973539268,-2.6608182094
1518632075.5110843182,-281.5814366964,-148.9989082296,-2.6608189588
1518632076.5100841522,-281.5811515376,-149.0004796821,-2.6608166515
1518632077.5102996826,-281.5808138033,-149.0019998332,-2.6608161553
1518632078.5105717182,-281.5805679655,-149.0035798891,-2.6608151963
1518632079.5107965469,-281.5802116825,-149.0050959455,-2.6608133242
1518632080.5104649067,-281.5799352461,-149.0067148248,-2.6608124102
1518632081.5104451180,-281.5796255039,-149.0082610441,-2.6608138515
1518632082.5099999905,-281.5793750426,-149.0099163224,-2.6608116467
1518632083.5104219913,-281.5791276261,-149.0115809869,-2.6608101864
1518632084.5103247166,-281.5788421397,-149.0131790265,-2.6608111766
1518632085.5100872517,-281.5787535416,-149.0147941327,-2.6608103756
1518632086.5101094246,-281.5787022559,-149.0163707515,-2.6608112950
1518632087.5103907585,-281.5785956600,-149.0178839019,-2.6608112488
1518632088.5104768276,-281.5785385456,-149.0195182845,-2.6608103445
1518632089.5104937553,-281.5784431129,-149.0210786838,-2.6608112759
1518632090.5101373196,-281.5783963699,-149.0226905170,-2.6608088681
1518632091.5156908035,-281.5782953702,-149.0242127053,-2.6608114267
1518632092.5102195740,-281.5782183831,-149.0258084382,-2.6608093065
1518632093.5104072094,-281.5781314801,-149.0274278187,-2.6608088990
1518632094.5108325481,-281.5780413362,-149.0290366797,-2.6608098607
1518632095.5109188557,-281.5778965033,-149.0302234961,-2.6608114036
1518632096.5133931637,-281.5778214479,-149.0322076202,-2.6608082134
1518632097.5149273872,-281.5776853605,-149.0337737361,-2.6608037416
1518632098.5104200840,-281.5776011304,-149.0354473402,-2.6608006690
1518632099.5105693340,-281.5775169092,-149.0371275719,-2.6608003797
1518632100.5098173618,-281.5773730844,-149.0387397372,-2.6607970450
1518632101.5103657246,-281.5773027486,-149.0404229317,-2.6607968288
1518632102.5105271339,-281.5772254930,-149.0420926505,-2.6607965922
1518632103.5105612278,-281.5771417599,-149.0437792597,-2.6607950974
1518632104.5112380981,-281.5770269047,-149.0453733262,-2.6607949433
1518632105.5099735260,-281.5769681979,-149.0470704269,-2.6607956939
1518632106.5099148750,-281.5769156317,-149.0487627138,-2.6607949904
1518632107.5109443665,-281.5768355888,-149.0504005733,-2.6607974067
1518632108.5108633041,-281.5768101183,-149.0521057030,-2.6607963626
1518632109.5102038383,-281.5767507297,-149.0537691617,-2.6607977379
1518632110.5107152462,-281.5768742246,-149.0555086908,-2.6607963031
1518632111.5104558468,-281.5770709790,-149.0572079506,-2.6607943810
