stamp,x,y,yaw
1518461407.5755939484,-1946.1673560199,-683.9527036938,0.6943155951
1518461407.7751591206,-1945.4159803675,-683.3521283191,0.6803161607
1518461407.9749197960,-1944.6501718549,-682.7460406410,0.6774970520
1518461408.1755995750,-1943.8721313564,-682.1243508668,0.6771170183
1518461408.3756496906,-1943.0813442307,-681.4951198407,0.6755284448
1518461408.5754864216,-1942.2792477207,-680.8623364904,0.6697238864
1518461408.7750034332,-1941.4691598697,-680.2228232043,0.6697556738
1518461408.9754738808,-1940.6472487488,-679.5729344748,0.6703669962
1518461409.1789629459,-1939.8066541230,-678.8985051142,0.6770158137
1518461409.3756210804,-1938.9955484024,-678.2249883605,0.6917682127
1518461409.5767157078,-1938.1665879750,-677.5022176058,0.7013953170
1518461409.7751638889,-1937.3158557419,-676.7892258528,0.6950685938
1518461409.9771661758,-1936.4500469448,-676.0643778013,0.6976650307
1518461410.1780796051,-1935.6027319679,-675.3380660230,0.6950976539
1518461410.3750624657,-1934.7615860421,-674.6355724853,0.6902447393
1518461410.5757126808,-1933.8987464819,-673.9011192170,0.6978632610
1518461410.7748243809,-1933.0404464406,-673.1695731676,0.6937372145
1518461410.9750003815,-1932.1701955514,-672.4346621714,0.6907094498
1518461411.1819903851,-1931.2581180168,-671.6684523422,0.6938618925
1518461411.3752169609,-1930.4101109295,-670.9482201028,0.6933920954
1518461411.5757267475,-1929.5246876677,-670.2024492622,0.6945114853
1518461411.7751097679,-1928.6437304635,-669.4570190894,0.6954122198
1518461411.9749536514,-1927.7590549004,-668.7137465443,0.6937574356
1518461412.1755700111,-1926.8659086525,-667.9672090268,0.6968617762
1518461412.3756253719,-1925.9777670931,-667.2170303715,0.6978776707
1518461412.5755362511,-1925.0886985806,-666.4591296968,0.7000602462
1518461412.7752640247,-1924.1919862639,-665.6939521839,0.7021684987
1518461412.9755375385,-1923.2815599050,-664.9200007467,0.7036619491
1518461413.1751642227,-1922.3665755224,-664.1363898866,0.7040992568
1518461413.3789563179,-1921.4229700217,-663.3314785147,0.7032891319
1518461413.5753359795,-1920.5040593954,-662.5458933468,0.7023592383
1518461413.7748842239,-1919.5584952777,-661.7429065297,0.7017428592
1518461413.9750771523,-1918.6011009283,-660.9340724371,0.7005926807
1518461414.1747293472,-1917.6328742511,-660.1198475424,0.6994585562
1518461414.3922414780,-1916.5679264048,-659.2216683123,0.7003815151
1518461414.5821385384,-1915.6296921395,-658.4348511856,0.6990214370
1518461414.7749776840,-1914.6679594356,-657.6309803798,0.6967286392
1518461414.9753198624,-1913.6600730681,-656.7906153627,0.6982662670
1518461415.1749677658,-1912.6483440995,-655.9432567623,0.7005349557
1518461415.3750150204,-1911.6292458383,-655.0934525246,0.6983285560
1518461415.5753979683,-1910.6047025986,-654.2303870623,0.7016029302
1518461415.7752361298,-1909.5828477531,-653.3730066995,0.7023549123
1518461415.9755966663,-1908.5587973108,-652.5091066699,0.7007389947
1518461416.1756138802,-1907.5314871862,-651.6332024393,0.7108096043
1518461416.3755509853,-1906.5117671912,-650.7539115538,0.7125157955
1518461416.5756857395,-1905.4847224329,-649.8616353197,0.7193576203
1518461416.7757387161,-1904.4668490752,-648.9625405704,0.7245741782
1518461416.9754087925,-1903.4508362105,-648.0616697751,0.7261942497
1518461417.1751563549,-1902.4293975982,-647.1553958242,0.7260826620
1518461417.3782186508,-1901.3825198520,-646.2252879044,0.7316164073
1518461417.5748646259,-1900.3774826190,-645.3153697041,0.7284588382
1518461417.7774930000,-1899.3209246513,-644.3879818580,0.7215168935
1518461417.9754507542,-1898.2857562418,-643.4735683052,0.7221604860
1518461418.1786484718,-1897.2167015174,-642.5317094888,0.7160808292
1518461418.3765082359,-1896.1655027933,-641.6209440499,0.7085134164
1518461418.5748250484,-1895.1065413264,-640.7139338570,0.7016681607
1518461418.7771565914,-1894.0157825126,-639.8002094838,0.6897285246
1518461418.9749200344,-1892.9489924404,-638.9169303156,0.6930834236
1518461419.1754615307,-1891.8692538377,-638.0170591360,0.6885735531
1518461419.3759899139,-1890.7839653302,-637.1278939861,0.6851362938
1518461419.5751714706,-1889.7029213516,-636.2466914943,0.6811022810
1518461419.7764811516,-1888.6017727282,-635.3600773723,0.6742493567
1518461419.9754755497,-1887.5243584443,-634.5000312356,0.6772801415
1518461420.1746854782,-1886.4391684853,-633.6294047937,0.6723282657
1518461420.3754930496,-1885.3416525345,-632.7644195067,0.6696925663
1518461420.5754747391,-1884.2508197665,-631.9026939740,0.6678992329
1518461420.7757372856,-1883.1630212460,-631.0366318671,0.6678058611
1518461420.9791150093,-1882.0497253111,-630.1581850977,0.6664062002
1518461421.1754145622,-1880.9699084184,-629.3113975944,0.6659882002
1518461421.3784699440,-1879.8533730527,-628.4304987205,0.6651024380
1518461421.5778982639,-1878.7484135684,-627.5637524890,0.6666858052
1518461421.7754619122,-1877.6542776897,-626.7021593839,0.6696671630
1518461421.9754431248,-1876.5445725842,-625.8248252186,0.6690121693
1518461422.1760766506,-1875.4224693792,-624.9309761568,0.6761740819
1518461422.3750429153,-1874.3176083205,-624.0364171066,0.6860142044
1518461422.5752284527,-1873.2109899755,-623.1245063899,0.6948245727
1518461422.7765355110,-1872.1044526307,-622.1933440462,0.7048604618
1518461422.9749863148,-1871.0242490245,-621.2640555492,0.7114973061
1518461423.1755800247,-1869.9365885015,-620.3125953434,0.7171479479
1518461423.3751537800,-1868.8553177575,-619.3620061493,0.7194160909
1518461423.5753576756,-1867.7738570916,-618.4019805480,0.7243373584
1518461423.7750804424,-1866.7002824991,-617.4407506777,0.7269981241
1518461423.9748544693,-1865.6280941005,-616.4785941381,0.7270393908
1518461424.1750073433,-1864.5495673813,-615.5159797856,0.7250020713
1518461424.3754069805,-1863.4671997129,-614.5529353173,0.7255921473
1518461424.5755569935,-1862.3890178557,-613.5951834191,0.7228993644
1518461424.7771728039,-1861.2985281152,-612.6334555935,0.7214878403
1518461424.9752380848,-1860.2263386721,-611.6906747620,0.7221029658
1518461425.1762347221,-1859.1387656694,-610.7364553502,0.7185524564
1518461425.3748157024,-1858.0560567436,-609.7997429861,0.7148485088
1518461425.5748400688,-1856.9664763895,-608.8546637321,0.7149732031
1518461425.7758934498,-1855.8670840964,-607.9118845883,0.7107058616
1518461425.9752554893,-1854.7694200972,-606.9779421176,0.7084248203
1518461426.1751098633,-1853.6707832838,-606.0436671810,0.7053997926
